,url,address,title,area,bedrooms,bathrooms,garages,price,date
1560,vivareal.com/imovel/apartamento-2-quartos-barreiros-bairros-sao-jose-com-garagem-97m2-venda-RS315000-id-2516488724/,"Rua Virgilino Ferreira de Souza, 513 - Barreiros, São José - SC","Apartamento com 2 Quartos à Venda, 97m²
",97,2,1,1,315000,2021-04-28 
1561,vivareal.com/imovel/apartamento-2-quartos-serraria-bairros-sao-jose-com-garagem-81m2-venda-RS165000-id-2495527202/,"Rua Alcebíades Vidal de Souza - Serraria, São José - SC","Apartamento com 2 Quartos à Venda, 81m²
",81,2,1,1,165000,2021-04-28 
1562,vivareal.com/imovel/apartamento-2-quartos-serraria-bairros-sao-jose-com-garagem-54m2-venda-RS120000-id-2504206850/,"Serraria, São José - SC","Apartamento com 2 Quartos à Venda, 54m²
",54,2,1,1,120000,2021-04-28 
1564,vivareal.com/imovel/apartamento-3-quartos-ipiranga-bairros-sao-jose-com-garagem-75m2-venda-RS310000-id-2507290580/,"Rua Bom Pastor, 981 - Ipiranga, São José - SC","Apartamento com 3 Quartos à Venda, 75m²
",75,3,2,1,310000,2021-04-28 
1565,vivareal.com/imovel/apartamento-3-quartos-kobrasol-bairros-sao-jose-com-garagem-75m2-venda-RS330000-id-2513439051/,"Rua Maria Manchen de Souza, 165 - Kobrasol, São José - SC","Apartamento com 3 Quartos à Venda, 75m²
",75,3,2,1,330000,2021-04-28 
1566,vivareal.com/imovel/apartamento-2-quartos-praia-comprida-bairros-sao-jose-com-garagem-64m2-venda-RS316000-id-2517804011/,"Praia Comprida, São José - SC","Apartamento com 2 Quartos à Venda, 64m²
",64,2,1,1,316000,2021-04-28 
1567,vivareal.com/imovel/apartamento-2-quartos-campinas-bairros-sao-jose-com-garagem-80m2-venda-RS499000-id-2518114038/,"Campinas, São José - SC","Apartamento com 2 Quartos à Venda, 80m²
",80,2,1,1,499000,2021-04-28 
1568,vivareal.com/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-103m2-venda-RS600000-id-2517299404/,"Rua Antônio Basil Schroeder - Barreiros, São José - SC","Apartamento com 3 Quartos à Venda, 103m²
",103,3,2,2,600000,2021-04-28 
1569,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-107m2-venda-RS764839-id-2514899526/,"Rua Osni João Vieira - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 107m²
",107,3,4,2,764839,2021-04-28 
1571,vivareal.com/imovel/apartamento-2-quartos-picadas-do-sul-bairros-sao-jose-75m2-venda-RS240000-id-2505778555/,"Rua Luiz Fagundes, 0 - Picadas do Sul, São José - SC","Apartamento com 2 Quartos à Venda, 75m²
",75,2,1,--,240000,2021-04-28 
1572,vivareal.com/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-94m2-venda-RS520000-id-2499869114/,"Rua Moura, 0 - Barreiros, São José - SC","Apartamento com 3 Quartos à Venda, 94m²
",94,3,2,1,520000,2021-04-28 
1573,vivareal.com/imovel/apartamento-4-quartos-campinas-bairros-sao-jose-com-garagem-159m2-venda-RS1245498-id-2514960793/,"Rua Vereador Walter Borges, 70 - Campinas, São José - SC","Apartamento com 4 Quartos à Venda, 159m²
",159,4,1,2,1245498,2021-04-28 
1574,vivareal.com/imovel/apartamento-3-quartos-areias-bairros-sao-jose-com-garagem-77m2-venda-RS270000-id-2508864634/,"Avenida Jaime Estefano Becker - Areias, São José - SC","Apartamento com 3 Quartos à Venda, 77m²
",77,3,2,1,270000,2021-04-28 
1575,vivareal.com/imovel/apartamento-2-quartos-campinas-bairros-sao-jose-com-garagem-82m2-venda-RS500000-id-2482988882/,"Rua Vereador Mário Coelho Pires, 305 - Campinas, São José - SC","Apartamento com 2 Quartos à Venda, 82m²
",82,2,2,1,500000,2021-04-28 
1576,vivareal.com/imovel/apartamento-3-quartos-praia-comprida-bairros-sao-jose-com-garagem-90m2-venda-RS180000-id-2504528303/,"Praia Comprida, São José - SC","Apartamento com 3 Quartos à Venda, 90m²
",90,3,1,1,180000,2021-04-28 
1578,vivareal.com/imovel/apartamento-2-quartos-ipiranga-bairros-sao-jose-com-garagem-51m2-venda-RS195000-id-2512558916/,"Rua José Francisco Gaspar, 246 - Ipiranga, São José - SC","Apartamento com 2 Quartos à Venda, 51m²
",51,2,1,1,195000,2021-04-28 
1579,vivareal.com/imovel/apartamento-2-quartos-campinas-bairros-sao-jose-com-garagem-82m2-venda-RS544000-id-2516505278/,"Rua Vereador Mário Coelho Pires, 0 - Campinas, São José - SC","Apartamento com 2 Quartos à Venda, 82m²
",82,2,2,1,544000,2021-04-28 
1580,vivareal.com/imovel/apartamento-3-quartos-kobrasol-bairros-sao-jose-com-garagem-112m2-venda-RS780000-id-2490995814/,"Rua Caetano José Ferreira - Kobrasol, São José - SC","Apartamento com 3 Quartos à Venda, 112m²
",112,3,2,2,780000,2021-04-28 
1581,vivareal.com/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-53m2-venda-RS155000-id-2514990998/,"Rua Gerôncio Thives - Barreiros, São José - SC","Apartamento com 3 Quartos à Venda, 53m²
",53,3,1,1,155000,2021-04-28 
1582,vivareal.com/imovel/apartamento-3-quartos-kobrasol-bairros-sao-jose-com-garagem-142m2-venda-RS1152000-id-2503698782/,"Rua Wanderlei Júnior, 271 - Kobrasol, São José - SC","Apartamento com 3 Quartos à Venda, 142m²
",142,3,4,3,1152000,2021-04-28 
1583,vivareal.com/imovel/apartamento-2-quartos-campinas-bairros-sao-jose-com-garagem-70m2-venda-RS390000-id-2514922077/,"Campinas, São José - SC","Apartamento com 2 Quartos à Venda, 70m²
",70,2,2,1,390000,2021-04-28 
1598,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-107m2-venda-RS800000-id-2512196210/,"Rua Coronel Eleseu Guilherme, 267 - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 107m²
",107,3,2,2,800000,2021-04-28 
1600,vivareal.com/imovel/apartamento-2-quartos-floresta-bairros-sao-jose-com-garagem-89m2-venda-RS420635-id-2510611727/,"Rua Otávio do Patrocínio Medeiros - Floresta, São José - SC","Apartamento com 2 Quartos à Venda, 89m²
",89,2,2,1,420635,2021-04-28 
1601,vivareal.com/imovel/apartamento-3-quartos-barreiros-bairros-sao-jose-com-garagem-104m2-venda-RS589900-id-2512647679/,"Rua Mar Del Plata, 415 - Barreiros, São José - SC","Apartamento com 3 Quartos à Venda, 104m²
",104,3,2,2,589900,2021-04-28 
