,url,address,title,area,bedrooms,bathrooms,garages,price,date
25,vivareal.com/imovel/apartamento-2-quartos-barreiros-bairros-sao-jose-com-garagem-70m2-venda-RS300000-id-2427737644/,"Rua Manoel Loureiro - Barreiros, São José - SC","Apartamento com 2 Quartos à Venda, 70m²",70,2,2,1,300000,2021-04-28 
26,vivareal.com/imovel/apartamento-2-quartos-areias-bairros-sao-jose-com-garagem-78m2-venda-RS285000-id-2517772843/,"Rua Fagundes Varela, 1187 - Areias, São José - SC","Apartamento com 2 Quartos à Venda, 78m²",78,2,1,1,285000,2021-04-28 
27,vivareal.com/imovel/apartamento-2-quartos-kobrasol-bairros-sao-jose-com-garagem-75m2-venda-RS480000-id-2508417689/,"Rua Caetano José Ferreira, 387 - Kobrasol, São José - SC","Apartamento com 2 Quartos à Venda, 75m²",75,2,2,1,480000,2021-04-28 
28,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-91m2-venda-RS640000-id-2517625741/,"Avenida Brigadeiro da Silva Paes, 767 - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 91m²",91,3,2,2,640000,2021-04-28 
29,vivareal.com/imovel/apartamento-2-quartos-ponta-de-baixo-bairros-sao-jose-com-garagem-60m2-venda-RS199000-id-2514504678/,"Rua Frederico Afonso, 5764 - Ponta de Baixo, São José - SC","Apartamento com 2 Quartos à Venda, 60m²",60,2,1,1,199000,2021-04-28 
30,vivareal.com/imovel/apartamento-3-quartos-campinas-bairros-sao-jose-com-garagem-74m2-venda-RS296000-id-2515901229/,"Rua Dom Pedro II, 12 - Campinas, São José - SC","Apartamento com 3 Quartos à Venda, 74m²",74,3,1,1,296000,2021-04-28 
31,vivareal.com/imovel/apartamento-2-quartos-forquilhinhas-bairros-sao-jose-com-garagem-63m2-venda-RS184900-id-2506989695/,"Rua Domingos Barbosa, 176 - Forquilhinhas, São José - SC","Apartamento com 2 Quartos à Venda, 63m²",63,2,1,1,184900,2021-04-28 
32,vivareal.com/imovel/apartamento-3-quartos-areias-bairros-sao-jose-com-garagem-110m2-venda-RS480000-id-2517267674/,"Rua Francisco Jacinto de Melo - Areias, São José - SC","Apartamento com 3 Quartos à Venda, 110m²",110,3,3,1,480000,2021-04-28 
33,vivareal.com/imovel/apartamento-3-quartos-rocado-bairros-sao-jose-com-garagem-89m2-venda-RS495000-id-2517456799/,"Roçado, São José - SC","Apartamento com 3 Quartos à Venda, 89m²",89,3,2,2,495000,2021-04-28 
34,vivareal.com/imovel/apartamento-3-quartos-jardim-cidade-de-florianopolis-bairros-sao-jose-com-garagem-73m2-venda-RS255000-id-2517338479/,"Jardim Cidade de Florianópolis, São José - SC","Apartamento com 3 Quartos à Venda, 73m²",73,3,1,1,255000,2021-04-28 
